model,rouge1,rouge2,rougeL,bleu1,bleu2,bleu4,meteor,relevance,completeness,practicality,heuristic_avg,combined,avg_time_s,num_questions,failed_questions
Cohere — Command-R,0.3847916666666666,0.20768541666666665,0.26880000000000004,0.27344375000000004,0.19495624999999997,0.11516874999999997,0.4173708333333333,0.9791666666666666,0.9604166666666667,0.921875,0.9538208333333333,0.625175,32.494791666666664,48,0
Groq — LLaMA 3.1 8B,0.44153958333333354,0.2733458333333333,0.34165625000000016,0.30506875,0.2276979166666667,0.15235833333333335,0.41462499999999985,0.9791666666666666,0.8395833333333332,0.765625,0.8614604166666666,0.5995041666666667,0.7504166666666668,48,0
Sarvam AI — Sarvam-105B,0.33885625,0.19695000000000004,0.2598770833333333,0.22898333333333334,0.16495,0.10677916666666669,0.2812520833333333,0.8125,0.666666666666667,0.5416666666666666,0.6736145833333333,0.46015,1.2466666666666668,48,0
Cerebras — GPT-OSS 120B,0.28889148936170206,0.11279787234042553,0.19084893617021279,0.1426659574468085,0.07484042553191489,0.031048936170212767,0.17338297872340427,0.851063829787234,0.6638297872340427,0.5851063829787234,0.6999957446808512,0.4355170212765957,2.129787234042553,47,1
